date,open,high,low,close,volume
2021-06-01,100.0,100.8233,99.6998,100.4057,1343782
2021-06-02,100.4057,100.9286,98.0449,98.0951,3789472
2021-06-03,98.0951,98.1017,97.4285,97.7621,3001407
2021-06-04,97.7621,98.7397,97.3213,98.7136,2483192
2021-06-07,98.7136,99.6482,98.568,99.3069,4551559
2021-06-08,99.3069,100.4135,99.2335,100.3935,1255269
2021-06-09,100.3935,100.8844,99.5517,99.6133,3711676
2021-06-10,99.6133,99.8254,99.0872,99.2322,4113533
2021-06-11,99.2322,99.9353,98.3821,99.7634,2466570
2021-06-14,99.7634,100.0881,98.9457,99.19,4870038
2021-06-15,99.19,100.6194,98.8567,100.5735,2320785
2021-06-16,100.5735,101.7004,100.355,101.3989,1907637
2021-06-17,101.3989,101.4931,100.5827,100.6297,4592350
2021-06-18,100.6297,101.8132,100.3564,101.7223,2153312
2021-06-21,101.7223,101.9632,101.4654,101.8454,2886268
2021-06-22,101.8454,102.0371,101.2361,101.4955,3820661
2021-06-23,101.4955,102.1024,100.8505,101.201,3617715
2021-06-24,101.201,101.3365,99.1332,99.1978,2884384
2021-06-25,99.1978,100.2196,98.883,99.9353,3411352
2021-06-28,99.9353,100.2782,99.3447,99.4208,1123271
2021-06-29,99.4208,99.8715,97.5784,97.9386,4422683
2021-06-30,97.9386,98.4162,97.7712,98.1452,2125535
2021-07-01,98.1452,98.6173,98.0237,98.3711,2671834
2021-07-02,98.3711,98.514,97.48,97.6291,4256081
2021-07-05,97.6291,97.8193,96.0864,96.2672,4602486
2021-07-06,96.2672,97.0341,96.011,96.861,3004179
2021-07-07,96.861,97.025,96.7545,96.7853,3428785
2021-07-08,96.7853,97.2974,94.7638,95.1433,2447250
2021-07-09,95.1433,95.9842,94.9994,95.6378,4056917
2021-07-12,95.6378,95.9199,94.9114,95.2672,4876705
2021-07-13,95.2672,95.6292,94.9415,95.0704,1510307
2021-07-14,95.0704,95.2356,93.0493,93.1379,2823105
2021-07-15,93.1379,93.6766,92.4844,92.5111,2971049
2021-07-16,92.5111,92.8145,91.9183,92.8064,3877851
2021-07-19,92.8064,93.1863,92.5105,92.5769,4147545
2021-07-20,92.5769,94.4383,92.4448,94.1239,1166456
2021-07-21,94.1239,96.2699,93.8831,95.8143,2199971
2021-07-22,95.8143,96.342,95.1621,95.4045,4700480
2021-07-23,95.4045,95.9658,94.8015,95.1882,2868430
2021-07-26,95.1882,96.9519,94.0788,96.1837,4130940
